,zpid,price,beds,baths,area,zipcode,city,state,homeType,pricePerSQFT
2106,2057771416,899000,2.0,1.0,800.0,94102,San Francisco,CA,TOWNHOUSE,1124
2107,15119408,998000,3.0,1.0,1250.0,94116,San Francisco,CA,SINGLE_FAMILY,798
2108,89237988,470000,2.0,1.0,724.0,94103,San Francisco,CA,CONDO,649
2109,15147434,785000,3.0,2.0,1150.0,94103,San Francisco,CA,CONDO,683
2110,15178509,998000,2.0,2.0,1670.0,94112,San Francisco,CA,SINGLE_FAMILY,598
2111,2070206532,284000,0.0,1.0,330.0,94103,San Francisco,CA,CONDO,861
2112,331633909,1850000,6.0,6.0,3575.0,94118,San Francisco,CA,SINGLE_FAMILY,517
2113,82793607,35000000,7.0,9.0,11635.0,94115,San Francisco,CA,SINGLE_FAMILY,3008
2114,124861683,1295000,4.0,2.0,1548.0,94118,San Francisco,CA,SINGLE_FAMILY,837
2115,337887884,1450000,3.0,2.0,1258.0,94110,San Francisco,CA,CONDO,1153
2116,96013579,5865000,5.0,7.0,6290.0,94127,San Francisco,CA,SINGLE_FAMILY,932
2117,15186316,1195000,5.0,3.0,2140.0,94112,San Francisco,CA,SINGLE_FAMILY,558
2118,15161502,1549000,2.0,2.0,1250.0,94110,San Francisco,CA,SINGLE_FAMILY,1239
2120,15106259,1495000,3.0,3.0,1961.0,94122,San Francisco,CA,SINGLE_FAMILY,762
2121,83153115,799000,2.0,2.0,921.0,94103,San Francisco,CA,CONDO,868
2124,15186426,999000,2.0,1.0,1280.0,94112,San Francisco,CA,SINGLE_FAMILY,780
2125,2057662329,699000,2.0,1.0,745.0,94110,San Francisco,CA,CONDO,938
2126,15183280,1859000,4.0,3.0,1905.0,94131,San Francisco,CA,SINGLE_FAMILY,976
2127,15200168,1450000,4.0,3.0,1368.0,94131,San Francisco,CA,SINGLE_FAMILY,1060
2128,241586853,1950000,3.0,4.0,3750.0,94107,San Francisco,CA,SINGLE_FAMILY,520
2129,15116722,1595000,3.0,2.0,1011.0,94116,San Francisco,CA,SINGLE_FAMILY,1578
2130,2057353720,1200000,5.0,4.0,3450.0,94112,San Francisco,CA,MULTI_FAMILY,348
2131,2103171106,9995000,5.0,5.0,5416.0,94115,San Francisco,CA,SINGLE_FAMILY,1845
2132,15193564,950000,4.0,3.0,1846.0,94132,San Francisco,CA,SINGLE_FAMILY,515
2134,15167845,995000,2.0,1.0,1226.0,94112,San Francisco,CA,SINGLE_FAMILY,812
2135,15079500,8350000,5.0,5.0,4275.0,94123,San Francisco,CA,SINGLE_FAMILY,1953
2136,15114768,998000,2.0,2.0,1547.0,94116,San Francisco,CA,SINGLE_FAMILY,645
2137,332852050,6895000,6.0,5.0,5550.0,94115,San Francisco,CA,SINGLE_FAMILY,1242
2139,15161468,745000,1.0,1.0,560.0,94110,San Francisco,CA,SINGLE_FAMILY,1330
2140,92344600,35000000,6.0,8.0,9625.0,94115,San Francisco,CA,SINGLE_FAMILY,3636
2141,15098523,3298000,4.0,4.0,2865.0,94118,San Francisco,CA,SINGLE_FAMILY,1151
2142,2119393117,485000,0.0,1.0,395.0,94115,San Francisco,CA,CONDO,1228
2143,15135751,2555000,3.0,3.0,2881.0,94127,San Francisco,CA,SINGLE_FAMILY,887
2144,2057585171,1125000,3.0,2.0,1514.0,94114,San Francisco,CA,CONDO,743
2145,2057547961,695000,1.0,1.0,604.0,94118,San Francisco,CA,CONDO,1151
2146,15110341,1098000,2.0,1.0,1175.0,94122,San Francisco,CA,SINGLE_FAMILY,934
2148,15176052,849000,3.0,1.0,1237.0,94134,San Francisco,CA,SINGLE_FAMILY,686
2149,15120828,1099000,2.0,3.0,1600.0,94116,San Francisco,CA,SINGLE_FAMILY,687
2150,15134642,1699000,3.0,2.0,1880.0,94127,San Francisco,CA,SINGLE_FAMILY,904
2151,15145418,4495000,5.0,7.0,4822.0,94114,San Francisco,CA,MULTI_FAMILY,932
2152,15080769,7900000,4.0,4.0,4554.0,94123,San Francisco,CA,SINGLE_FAMILY,1735
2153,15139002,2195000,4.0,2.0,2700.0,94127,San Francisco,CA,SINGLE_FAMILY,813
2154,15189021,879000,3.0,2.0,1537.0,94112,San Francisco,CA,SINGLE_FAMILY,572
2155,15118420,1198000,2.0,2.0,1586.0,94116,San Francisco,CA,SINGLE_FAMILY,755
2156,2089603231,898000,2.0,2.0,850.0,94133,San Francisco,CA,CONDO,1056
2157,2097431741,745000,1.0,1.0,628.0,94122,San Francisco,CA,CONDO,1186
2158,89240188,363296,1.0,1.0,535.0,94107,San Francisco,CA,CONDO,679
2159,89238658,899000,2.0,1.0,778.0,94131,San Francisco,CA,CONDO,1156
2160,67394837,695000,1.0,2.0,801.0,94103,San Francisco,CA,CONDO,868
2161,15092107,1525000,2.0,1.0,1330.0,94121,San Francisco,CA,SINGLE_FAMILY,1147
2162,15172138,998000,3.0,1.0,1160.0,94134,San Francisco,CA,SINGLE_FAMILY,860
2163,15079772,8129600,4.0,6.0,4519.0,94123,San Francisco,CA,SINGLE_FAMILY,1799
2165,64969963,425000,1.0,2.0,962.0,94107,San Francisco,CA,CONDO,442
2167,327012153,16900000,6.0,8.0,6990.0,94115,San Francisco,CA,SINGLE_FAMILY,2418
2168,15078187,899000,2.0,2.0,1016.0,94115,San Francisco,CA,CONDO,885
2169,2058095890,998000,4.0,2.0,1880.0,94102,San Francisco,CA,MULTI_FAMILY,531
2170,15092290,679999,1.0,1.0,680.0,94121,San Francisco,CA,CONDO,1000
2172,64971879,715000,3.0,2.0,1050.0,94115,San Francisco,CA,CONDO,681
2173,79845738,524078,2.0,2.0,1166.0,94134,San Francisco,CA,CONDO,449
2174,2057975372,649000,2.0,2.0,980.0,94103,San Francisco,CA,CONDO,662
2175,15080129,2850000,4.0,4.0,1785.0,94123,San Francisco,CA,SINGLE_FAMILY,1597
2176,331637280,1095000,4.0,3.0,1525.0,94110,San Francisco,CA,MULTI_FAMILY,718
2177,15169189,848000,2.0,1.0,1150.0,94112,San Francisco,CA,SINGLE_FAMILY,737
2179,15117333,1650000,3.0,3.0,1634.0,94116,San Francisco,CA,SINGLE_FAMILY,1010
2180,2088456138,499000,0.0,1.0,4167.0,94109,San Francisco,CA,CONDO,120
2182,15084375,975000,1.0,1.0,1396.0,94115,San Francisco,CA,MULTI_FAMILY,698
2183,15092106,1375000,2.0,1.0,1040.0,94121,San Francisco,CA,SINGLE_FAMILY,1322
2184,15081800,13900000,4.0,6.0,6105.0,94118,San Francisco,CA,SINGLE_FAMILY,2277
2186,332857288,1848000,7.0,5.0,2472.0,94122,San Francisco,CA,MULTI_FAMILY,748
2187,184817999,588000,1.0,1.0,743.0,94124,San Francisco,CA,CONDO,791
2188,15073354,19950000,8.0,8.0,10734.0,94115,San Francisco,CA,SINGLE_FAMILY,1859
2190,15075183,3350000,3.0,4.0,2487.0,94115,San Francisco,CA,SINGLE_FAMILY,1347
2191,15133317,2595000,3.0,3.0,2740.0,94116,San Francisco,CA,SINGLE_FAMILY,947
2192,15151929,1599000,3.0,3.0,1627.0,94110,San Francisco,CA,SINGLE_FAMILY,983
2193,15154436,1050000,4.0,3.0,1776.0,94124,San Francisco,CA,SINGLE_FAMILY,591
2195,15196089,875000,4.0,3.0,1400.0,94112,San Francisco,CA,SINGLE_FAMILY,625
2197,332860432,1650000,4.0,3.0,2180.0,94107,San Francisco,CA,MULTI_FAMILY,757
2198,82786028,1195000,2.0,2.0,1309.0,94105,San Francisco,CA,CONDO,913
2199,15120388,1475000,3.0,2.0,1672.0,94116,San Francisco,CA,SINGLE_FAMILY,882
2200,2086444129,1995000,2.0,2.0,3520.0,94109,San Francisco,CA,SINGLE_FAMILY,567
2202,15153958,895000,2.0,2.0,1648.0,94124,San Francisco,CA,SINGLE_FAMILY,543
2203,2060513139,575000,2.0,1.0,670.0,94102,San Francisco,CA,CONDO,858
2204,15161564,1299888,3.0,2.0,1110.0,94110,San Francisco,CA,SINGLE_FAMILY,1171
2205,15172703,788000,2.0,1.0,1050.0,94134,San Francisco,CA,SINGLE_FAMILY,750
2210,111921706,1500000,3.0,2.0,1059.0,94110,San Francisco,CA,CONDO,1416
2211,15197384,1899000,4.0,3.0,2069.0,94132,San Francisco,CA,SINGLE_FAMILY,918
2212,15142191,1599000,4.0,2.0,2106.0,94127,San Francisco,CA,SINGLE_FAMILY,759
2214,53153326,1650000,3.0,2.0,1826.0,94121,San Francisco,CA,CONDO,904
2216,15118808,1150000,3.0,1.0,900.0,94116,San Francisco,CA,SINGLE_FAMILY,1278
2217,15184981,2450000,3.0,2.0,2123.0,94131,San Francisco,CA,SINGLE_FAMILY,1154
2218,2060274436,2500000,4.0,4.0,3092.0,94123,San Francisco,CA,MULTI_FAMILY,809
2219,15138004,3295000,3.0,2.0,2670.0,94127,San Francisco,CA,SINGLE_FAMILY,1234
2220,15199402,4400000,4.0,3.0,2642.0,94131,San Francisco,CA,SINGLE_FAMILY,1665
2221,15139247,1250000,3.0,3.0,1528.0,94112,San Francisco,CA,SINGLE_FAMILY,818
2222,15102214,1595000,3.0,1.0,1962.0,94122,San Francisco,CA,SINGLE_FAMILY,813
2225,15080864,12450000,6.0,6.0,9125.0,94115,San Francisco,CA,SINGLE_FAMILY,1364
2226,80735775,2198000,2.0,2.0,1619.0,94107,San Francisco,CA,CONDO,1358
2227,332849437,17995000,5.0,8.0,10824.0,94109,San Francisco,CA,SINGLE_FAMILY,1663
2228,15129638,4495000,2.0,3.0,2860.0,94114,San Francisco,CA,SINGLE_FAMILY,1572
2229,15071942,1650000,3.0,2.0,1367.0,94123,San Francisco,CA,CONDO,1207
2230,15143062,3695000,5.0,4.0,2915.0,94103,San Francisco,CA,SINGLE_FAMILY,1268
2231,53165039,1180000,2.0,2.0,1400.0,94107,San Francisco,CA,CONDO,843
2232,15063604,7928000,4.0,6.0,6330.0,94109,San Francisco,CA,SINGLE_FAMILY,1252
2233,15150732,1699000,3.0,2.0,1720.0,94107,San Francisco,CA,SINGLE_FAMILY,988
2235,15081870,8280000,5.0,7.0,4571.0,94115,San Francisco,CA,SINGLE_FAMILY,1811
2236,15088585,5995000,5.0,4.0,3344.0,94121,San Francisco,CA,SINGLE_FAMILY,1793
2238,15174579,725000,1.0,1.0,1210.0,94112,San Francisco,CA,SINGLE_FAMILY,599
2239,15080939,9950000,4.0,5.0,4616.0,94118,San Francisco,CA,SINGLE_FAMILY,2156
2240,2060419257,1195000,2.0,1.0,981.0,94123,San Francisco,CA,CONDO,1218
2241,15070164,3350000,3.0,4.0,2815.0,94123,San Francisco,CA,SINGLE_FAMILY,1190
2242,89238076,799000,2.0,2.0,810.0,94109,San Francisco,CA,CONDO,986
2243,332863117,8995000,6.0,7.0,5998.0,94131,San Francisco,CA,SINGLE_FAMILY,1500
2245,15073215,1495000,2.0,2.0,1856.0,94115,San Francisco,CA,CONDO,805
2246,69819941,1399000,3.0,2.0,1896.0,94115,San Francisco,CA,CONDO,738
2247,15129506,2300000,4.0,1.0,1850.0,94114,San Francisco,CA,SINGLE_FAMILY,1243
2248,15087197,3295000,3.0,3.0,2545.0,94117,San Francisco,CA,SINGLE_FAMILY,1295
2249,15192198,850000,2.0,1.0,900.0,94112,San Francisco,CA,SINGLE_FAMILY,944
2250,2061456194,1690000,4.0,2.0,2432.0,94122,San Francisco,CA,SINGLE_FAMILY,695
2251,15147930,798800,0.0,1.0,1092.0,94107,San Francisco,CA,TOWNHOUSE,732
2252,15080712,4875000,4.0,5.0,3395.0,94123,San Francisco,CA,SINGLE_FAMILY,1436
2253,59700486,795000,1.0,2.0,988.0,94103,San Francisco,CA,CONDO,805
2254,15084005,599000,1.0,1.0,605.0,94115,San Francisco,CA,CONDO,990
2255,15120529,1299000,4.0,2.0,1936.0,94116,San Francisco,CA,SINGLE_FAMILY,671
2256,89239499,920000,2.0,2.0,959.0,94116,San Francisco,CA,CONDO,959
2257,82786445,809000,1.0,2.0,813.0,94114,San Francisco,CA,CONDO,995
2258,15101755,1298000,2.0,2.0,1575.0,94122,San Francisco,CA,SINGLE_FAMILY,824
2260,2058043469,434900,3.0,3.0,2015.0,59102,Billings,MT,SINGLE_FAMILY,216
2261,332858371,1999999,5.0,2.0,2496.0,94114,San Francisco,CA,MULTI_FAMILY,801
2262,331563013,1895000,5.0,4.0,2740.0,94114,San Francisco,CA,MULTI_FAMILY,692
2264,15145732,5300000,5.0,6.0,4869.0,94110,San Francisco,CA,SINGLE_FAMILY,1089
2266,15068820,499999,0.0,1.0,494.0,94109,San Francisco,CA,CONDO,1012
2267,15081172,15900000,5.0,6.0,8650.0,94115,San Francisco,CA,SINGLE_FAMILY,1838
2269,2057989222,326584,0.0,1.0,480.0,94131,San Francisco,CA,CONDO,680
2270,15128043,3295000,4.0,3.0,2717.0,94117,San Francisco,CA,SINGLE_FAMILY,1213
2271,241586466,498000,1.0,1.0,551.0,94124,San Francisco,CA,CONDO,904
2272,332859791,1095000,4.0,2.0,2350.0,94110,San Francisco,CA,MULTI_FAMILY,466
2273,332850512,2775000,4.0,2.0,2800.0,94123,San Francisco,CA,MULTI_FAMILY,991
2274,15079465,4995000,4.0,5.0,3505.0,94123,San Francisco,CA,SINGLE_FAMILY,1425
2275,63196424,648000,1.0,1.0,885.0,94109,San Francisco,CA,CONDO,732
2276,64971680,589862,2.0,2.0,984.0,94134,San Francisco,CA,CONDO,599
2278,332857188,1295000,4.0,2.0,2400.0,94122,San Francisco,CA,MULTI_FAMILY,540
2279,15147491,750000,1.0,2.0,862.0,94103,San Francisco,CA,CONDO,870
2280,2061666424,6699000,5.0,5.0,3929.0,94123,San Francisco,CA,SINGLE_FAMILY,1705
