,season,player,pos,award_share,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
20,2002,Tim Duncan,PF,0.757,25,SAS,82,82,35.0,8.017241379310345,15.775862068965518,0.4379310344827586,0.0,0.08620689655172414,0.08620689655172414,8.017241379310345,15.689655172413792,0.44051724137931036,0.4379310344827586,5.862068965517241,7.327586206896552,0.6887931034482759,2.8448275862068964,8.10344827586207,10.948275862068964,3.189655172413793,0.603448275862069,2.1551724137931036,2.7586206896551726,2.241379310344828,21.982758620689655,2869.8275862068963,23.275862068965516,0.49655172413793097,0.00603448275862069,0.40172413793103445,8.275862068965516,22.327586206896548,15.517241379310343,15.775862068965518,0.8620689655172413,3.706896551724138,10.948275862068964,25.0,9.22413793103448,6.120689655172413,15.344827586206897,0.22155172413793103,4.655172413793103,1.896551724137931,6.551724137931034,6.896551724137931,5.3534482758620685,5.405172413793103,0.6094827586206896
21,2003,Tim Duncan,PF,0.808,26,SAS,81,81,35.0,7.837150127226464,15.318066157760816,0.45687022900763363,0.089058524173028,0.26717557251908397,0.24312977099236643,7.748091603053435,15.050890585241731,0.4604325699745548,0.4586513994910942,4.987277353689567,6.9465648854961835,0.6323155216284988,2.849872773536896,8.638676844783715,11.488549618320612,3.4732824427480917,0.6234096692111959,2.5826972010178118,2.760814249363868,2.5826972010178118,20.750636132315524,2832.95165394402,23.95674300254453,0.5022900763358779,0.014249363867684479,0.4052162849872774,8.816793893129772,24.312977099236644,16.92111959287532,17.36641221374046,0.801526717557252,4.631043256997456,11.488549618320612,24.93638676844784,8.46055979643766,6.145038167938932,14.694656488549619,0.22086513994910942,4.4529262086514,2.2264631043257,6.768447837150127,6.857506361323156,4.818066157760814,5.031806615776082,0.6519083969465649
22,2004,Kevin Garnett,PF,0.991,27,MIN,82,82,35.0,8.70558375634518,17.41116751269036,0.4432741116751269,0.08883248730964467,0.44416243654822335,0.2274111675126904,8.616751269035532,16.967005076142133,0.44949238578680206,0.4459390862944163,3.9974619289340105,5.063451776649747,0.7026649746192893,2.66497461928934,9.682741116751268,12.347715736040609,4.441624365482233,1.33248730964467,1.954314720812183,2.3096446700507616,2.2208121827411165,21.49746192893401,2870.1776649746193,26.116751269035532,0.4859137055837564,0.023984771573604062,0.2567258883248731,8.083756345177665,26.649746192893403,17.85532994923858,21.6751269035533,1.7766497461928934,3.553299492385787,9.327411167512691,26.294416243654823,9.238578680203046,7.106598984771574,16.256345177664976,0.2416243654822335,6.040609137055837,2.931472081218274,9.060913705583756,8.883248730964466,4.876903553299493,5.205583756345178,0.6280456852791878
23,2005,Steve Nash,PG,0.839,30,PHO,75,75,35.0,5.816326530612246,11.632653061224492,0.5122448979591837,1.326530612244898,2.959183673469388,0.439795918367347,4.591836734693878,8.673469387755102,0.5367346938775511,0.5683673469387756,2.857142857142857,3.26530612244898,0.9051020408163266,0.816326530612245,2.653061224489796,3.36734693877551,11.734693877551022,1.0204081632653061,0.10204081632653063,3.36734693877551,1.8367346938775513,15.816326530612246,2625.510204081633,22.448979591836736,0.6183673469387756,0.25918367346938775,0.2836734693877551,2.5510204081632653,7.755102040816327,5.306122448979592,50.20408163265307,1.4285714285714286,0.20408163265306126,20.71428571428572,20.91836734693878,9.89795918367347,1.2244897959183674,11.122448979591837,0.20714285714285716,5.612244897959184,-0.816326530612245,4.795918367346939,4.4897959183673475,7.2653061224489806,7.224489795918368,0.7714285714285715
24,2006,Steve Nash,PG,0.739,31,PHO,79,79,35.0,6.72316384180791,13.248587570621469,0.5062146892655368,1.8785310734463276,4.251412429378531,0.43403954802259886,4.844632768361583,8.898305084745763,0.5418079096045199,0.576412429378531,3.26271186440678,3.46045197740113,0.9105932203389832,0.5932203389830508,3.5593220338983054,4.152542372881356,10.38135593220339,0.7909604519774013,0.19774011299435032,3.46045197740113,1.4830508474576274,18.587570621468927,2764.406779661017,23.03672316384181,0.624858757062147,0.3203389830508475,0.26101694915254237,1.8785310734463276,10.974576271186441,6.52542372881356,43.898305084745765,1.0875706214689267,0.2966101694915254,18.78531073446328,23.03672316384181,10.183615819209042,2.076271186440678,12.25988700564972,0.2096045197740113,5.635593220338984,-0.6920903954802259,4.943502824858757,4.844632768361583,5.487288135593221,5.418079096045198,0.6515536723163842
25,2007,Dirk Nowitzki,PF,0.882,28,DAL,78,78,35.0,8.314917127071823,16.629834254143645,0.4853591160220994,0.8701657458563535,2.1270718232044197,0.40220994475138117,7.444751381215469,14.502762430939224,0.4979281767955801,0.51146408839779,6.1878453038674035,6.864640883977899,0.8740331491712706,1.5469613259668509,7.058011049723756,8.604972375690608,3.2872928176795577,0.6767955801104971,0.7734806629834254,2.0303867403314917,2.1270718232044197,23.784530386740332,2726.5193370165744,26.685082872928174,0.5849447513812154,0.12472375690607733,0.39737569060773476,5.124309392265193,23.107734806629832,14.30939226519337,17.209944751381215,0.9668508287292817,1.6436464088397789,9.185082872928177,27.94198895027624,11.408839779005525,4.350828729281767,15.759668508287291,0.26878453038674033,6.961325966850828,1.160220994475138,8.024861878453038,7.154696132596685,6.980662983425414,7.038674033149172,0.789917127071823
26,2008,Kobe Bryant,SG,0.873,29,LAL,82,82,35.0,8.547557840616966,18.53470437017995,0.41298200514138816,1.6195372750642676,4.588688946015424,0.3248071979434447,6.838046272493573,13.946015424164525,0.44087403598971725,0.4525706940874036,6.838046272493573,8.097686375321338,0.7557840616966581,0.9897172236503857,4.678663239074551,5.668380462724936,4.858611825192803,1.6195372750642676,0.4498714652956298,2.7892030848329052,2.519280205655527,25.462724935732652,2871.9794344473007,21.773778920308484,0.5182519280205655,0.22133676092544988,0.394987146529563,3.059125964010283,12.686375321336762,8.097686375321338,21.503856041131105,2.159383033419023,0.8097686375321338,10.167095115681235,28.25192802056555,8.547557840616966,3.8688946015424164,12.416452442159382,0.187146529562982,4.678663239074551,0.5398457583547558,5.218508997429306,5.668380462724936,6.532133676092545,6.604113110539846,0.6253213367609255
27,2009,LeBron James,SF,0.969,24,CLE,81,81,35.0,9.005305039787796,18.474801061007955,0.4539787798408487,1.4854111405835544,4.363395225464191,0.31936339522546414,7.519893899204243,14.111405835543765,0.496684350132626,0.49204244031830235,6.777188328912466,8.726790450928382,0.7241379310344828,1.206896551724138,5.848806366047745,7.055702917771883,6.684350132625994,1.5782493368700263,1.0212201591511936,2.7851458885941645,1.5782493368700263,26.366047745358085,2835.278514588859,29.429708222811666,0.5486737400530503,0.2209549071618037,0.4381962864721485,3.992042440318302,17.639257294429708,11.047745358090186,35.278514588859416,2.228116710875331,2.228116710875331,10.212201591511935,31.379310344827584,12.718832891246683,6.0344827586206895,18.846153846153847,0.29522546419098145,8.819628647214854,3.4350132625994694,12.254641909814321,10.954907161803714,8.290450928381963,8.058355437665782,0.7473474801061009
28,2010,LeBron James,SF,0.98,25,CLE,76,76,35.0,9.064102564102562,18.03846153846154,0.4514102564102564,1.5256410256410255,4.576923076923077,0.2988461538461538,7.538461538461539,13.461538461538462,0.5025641025641027,0.48910256410256414,6.999999999999999,9.153846153846153,0.6883333333333332,0.8076923076923077,5.743589743589744,6.551282051282051,7.717948717948718,1.435897435897436,0.8974358974358974,3.051282051282051,1.435897435897436,26.653846153846153,2661.794871794872,27.910256410256412,0.5420512820512821,0.22705128205128206,0.4541025641025641,2.6923076923076925,16.602564102564102,9.961538461538462,37.51282051282051,1.9743589743589747,1.7948717948717947,11.03846153846154,30.064102564102562,11.935897435897436,4.666666666666667,16.602564102564102,0.2683333333333333,8.166666666666666,2.5128205128205128,10.589743589743591,9.243589743589745,5.851282051282051,5.537179487179487,0.6676923076923077
29,2011,Derrick Rose,PG,0.977,22,CHI,81,81,35.0,8.23529411764706,18.43582887700535,0.41644385026737973,1.4973262032085564,4.491978609625669,0.31069518716577543,6.737967914438503,14.037433155080214,0.4501336898395722,0.45387700534759357,5.521390374331552,6.457219251336899,0.8029411764705883,0.9358288770053476,2.901069518716578,3.836898395721925,7.2058823529411775,0.9358288770053476,0.5614973262032086,3.181818181818182,1.590909090909091,23.39572192513369,2831.8181818181815,21.991978609625672,0.5147058823529412,0.22553475935828876,0.3256684491978609,2.9946524064171127,8.796791443850267,5.9893048128342254,36.216577540106954,1.4037433155080214,1.2165775401069518,12.259358288770054,30.133689839572195,7.767379679144386,4.491978609625669,12.259358288770054,0.19465240641711232,5.8957219251336905,0.4679144385026738,6.363636363636364,6.270053475935829,6.850267379679145,6.11096256684492,0.7074866310160428
30,2012,LeBron James,SF,0.888,27,MIA,62,62,35.0,9.333333333333334,17.64,0.49560000000000004,0.84,2.24,0.33786666666666665,8.493333333333334,15.4,0.5189333333333334,0.5170666666666667,5.786666666666667,7.56,0.7196,1.4000000000000001,5.9733333333333345,7.373333333333333,5.786666666666667,1.7733333333333332,0.7466666666666668,3.173333333333333,1.4000000000000001,25.293333333333333,2170.9333333333334,28.653333333333332,0.5646666666666667,0.11853333333333334,0.40040000000000003,4.666666666666667,18.386666666666667,11.759999999999998,31.36,2.4266666666666667,1.5866666666666664,12.413333333333334,29.866666666666667,9.333333333333334,4.2,13.533333333333333,0.2781333333333333,7.653333333333332,2.5200000000000005,10.173333333333334,7.093333333333333,5.581333333333333,5.338666666666667,0.6505333333333333
31,2013,LeBron James,PF,0.998,28,MIA,76,76,35.0,9.327176781002638,16.437994722955146,0.5217678100263852,1.2928759894459103,3.047493403693931,0.37493403693931404,8.034300791556728,13.390501319261213,0.5559366754617415,0.5568601583113456,4.894459102902375,6.464379947229551,0.6953825857519789,1.2005277044854883,6.279683377308707,7.387862796833773,6.741424802110818,1.5699208443271768,0.8311345646437995,2.770448548812665,1.2928759894459103,24.749340369393142,2656.860158311346,29.182058047493406,0.5910290237467019,0.1736147757255937,0.3647757255936676,4.063324538258576,19.208443271767813,12.097625329815303,33.61477572559367,2.216358839050132,1.754617414248021,11.451187335092348,27.889182058047496,13.482849604221636,4.340369393139842,17.82321899736148,0.2973614775725594,8.588390501319262,2.216358839050132,10.804749340369392,9.142480211081795,7.2678100263852246,6.492084432717678,0.7434036939313985
